Question,Type,Reference,Answer
"Who were praying outside when the time for the burning of incense came?",General,Luke 1:10,"All the assembled worshipers (Luke 1:10)"
"According to Luke, chapter 14, verse 9, what will the host say to you?",According-To,Luke 14:9,"""Give this person your seat."" (Luke 14:9)"
"Who should take charge of five cities?",General,Luke 19:19,"The second servant (Luke 19:19)"
"According to Luke, chapter 11, verse 16, how did others test him?",According-To,Luke 11:16,"By asking for a sign from heaven (Luke 11:16)"
"Quote Luke, chapter 6, verses 22 through 23.",Quote,Luke 6:22-23,"""Blessed are you when people hate you, when they exclude you and insult you and reject your name as evil, because of the Son of Man. Rejoice in that day and leap for joy, because great is your reward in heaven. For that is how their ancestors treated the prophets."" (Luke 6:22-23)"
"When did Jesus fall asleep?",General,Luke 8:23,"As he and his disciples sailed (Luke 8:23)"
"Whom did the tenants wound and throw out?",General,Luke 20:12,"A third servant (Luke 20:12)"
"Finish these verses and give the reference: ""While they were there, the...""",Reference,Luke 2:6-7,"""...time came for the baby to be born, and she gave birth to her firstborn, a son. She wrapped him in cloths and placed him in a manger, because there was no guest room available for them."" (Luke 2:6-7)"
"Situation question: who said it, to whom, and in reply to what: ""Go tell that fox, 'I will keep on driving out demons and healing people today and tomorrow, and on the third day I will reach my goal.'""?",Situation,Luke 13:31-32,"Jesus said it to some Pharisees, in reply to, ""Leave this place and go somewhere else. Herod wants to kill you."" (Luke 13:31-32)"
"Who never disobeyed his father's orders?",General,Luke 15:29,"The older brother (Luke 15:29)"
"Whom did the people try to keep from leaving them?",General,Luke 4:42,"Jesus (Luke 4:42)"
"Finish these verses: ""But I want you to...""",Verse,Luke 5:24-25,"""...know that the Son of Man has authority on earth to forgive sins."" So he said to the paralyzed man, ""I tell you, get up, take your mat and go home."" Immediately he stood up in front of them, took what he had been lying on and went home praising God."" (Luke 5:24-25)"
"According to Luke, chapter 7, verse 6, who went with them?",According-To,Luke 7:6,"Jesus (Luke 7:6)"
"Who had called the Twelve together?",General,Luke 9:1,"Jesus (Luke 9:1)"
"Whom does the master put in charge of his servants?",General,Luke 12:42,"The faithful and wise manager (Luke 12:42)"
"In Luke, chapter 10, who was a neighbor to the man who fell into the hands of robbers?",Context,Luke 10:36-37,"The one who had mercy on him [OR the Samaritan] (Luke 10:36-37)"
"What will anyone who will not receive the kingdom of God like a little child never enter?",General,Luke 18:17,"The kingdom of God (Luke 18:17)"
"With what should soldiers be content?",General,Luke 3:14,"Their pay (Luke 3:14)"
"According to Luke, chapter 16, verse 19, how was a rich man dressed?",According-To,Luke 16:19,"In purple and fine linen (Luke 16:19)"
"When will it also be just as it was in the days of Noah?",General,Luke 17:26,"In the days of the Son of Man (Luke 17:26)"
"According to Luke, chapter 12, verse 31, what should you seek?",According-To,Luke 12:31,"His kingdom (Luke 12:31)"
"Who was a widow until she was eighty-four?",General,Luke 2:37,"Anna (Luke 2:37)"
"What is worse than the first?",General,Luke 11:26,"The final condition of that person (Luke 11:26)"
"On what are Caesar's image and inscription?",Context,Luke 20:24,"A denarius (Luke 20:24)"
"Who kept coming to a judge with the plea, ""Grant me justice against my adversary.""",General,Luke 18:3,"A widow in that town (Luke 18:3)"
"Quote Luke, chapter 16, verse 31.",Quote,Luke 16:31,"""He said to him, 'If they do not listen to Moses and the Prophets, they will not be convinced even if someone rises from the dead.'"" (Luke 16:31)"
"Who all alike began to make excuses?",General,Luke 14:18,"Those who had been invited (to a banquet) (Luke 14:18)"
"Where is your reward great?",General,Luke 6:23,"In heaven (Luke 6:23)"
"Finish these verses and give the reference: ""The Spirit of the Lord...""",Reference,Luke 4:18-19,"""...is on me, because he has anointed me to proclaim good news to the poor. He has sent me to proclaim freedom for the prisoners and recovery of sight for the blind, to set the oppressed free, to proclaim the year of the Lord's favor."" (Luke 4:18-19)"
"Where will it be more bearable for Tyre and Sidon than for Chorazin and Bethsaida?",General,Luke 10:14,"At the judgment (Luke 10:14)"
"According to Luke, chapter 1, verse 29, at what was Mary greatly troubled?",According-To,Luke 1:29,"His words (Luke 1:29)"
"Whom has Jesus come to call to repentance?",General,Luke 5:32,"Sinners (Luke 5:32)"
"Finish these verses: ""Once, on being asked by...""",Verse,Luke 17:20-21,"""...the Pharisees when the kingdom of God would come, Jesus replied, 'The coming of the kingdom of God is not something that can be observed, nor will people say, Here it is, or There it is, because the kingdom of God is in your midst.'"" (Luke 17:20-21)"
"According to Luke, chapter 7, verse 27, where will I send my messenger?",According-To,Luke 7:27,"Ahead of you (Luke 7:27)"
"What started among the disciples as to which of them would be the greatest?",General,Luke 9:46,"An argument (Luke 9:46)"
"Of whom was Shelah the son?",General,Luke 3:35-36,"Cainan (Luke 3:35-36)"
"Situation question: who said it, and to whom: ""You take charge of five cities.""?",Situation,Luke 19:19,"The king said it to the second servant (Luke 19:19)"
"Who will answer, ""I don't know you or where you come from.""?",General,Luke 13:25,"The owner of the house (Luke 13:25)"
"For where did the younger son set off?",General,Luke 15:13,"A distant country (Luke 15:13)"
"According to Luke, chapter 8, verse 23, in what were they?",According-To,Luke 8:23,"Great danger (Luke 8:23)"
"From where did fire and sulfur rain down?",General,Luke 17:29,"Heaven (Luke 17:29)"
"To whom do you know how to give good gifts?",General,Luke 11:13,"Your children (Luke 11:13)"
"Quote Luke, chapter 7, verses 22 through 23.",Quote,Luke 7:22-23,"""So he replied to the messengers, 'Go back and report to John what you have seen and heard: The blind receive sight, the lame walk, those who have leprosy are cleansed, the deaf hear, the dead are raised, and the good news is proclaimed to the poor. Blessed is anyone who does not stumble on account of me.'"" (Luke 7:22-23)"
"According to Luke, chapter 20, verse 26, what did they become?",According-To,Luke 20:26,"Silent (Luke 20:26)"
"Who was the son of Jesse?",General,Luke 3:31-32,"David (Luke 3:31-32)"
"Finish these verses and give the reference: ""Many have undertaken to draw...""",Reference,Luke 1:1-2,"""...up an account of the things that have been fulfilled among us, just as they were handed down to us by those who from the first were eyewitnesses and servants of the word."" (Luke 1:1-2)"
"What will you stand outside pleading once the owner of the house gets up and closes the door?",General,Luke 13:25,"""Sir, open the door for us."" (Luke 13:25)"
"Situation question: who said it, to whom, and what was the reply: ""Lord, if you are willing, you can make me clean.""?",Situation,Luke 5:12-13,"A man who was covered with leprosy said it to Jesus, and the reply was, ""I am willing. Be clean!"" (Luke 5:12-13)"
"Who had given the child the name Jesus before he was conceived?",General,Luke 2:21,"The angel (Luke 2:21)"
"In Luke, chapter 6, what happened to those troubled by impure spirits?",Context,Luke 6:18,"They were cured (Luke 6:18)"
"In what do the Pharisees justify themselves?",General,Luke 16:15,"The eyes of others (Luke 16:15)"
"According to Luke, chapter 18, verse 43, what did he immediately receive?",According-To,Luke 18:43,"His sight (Luke 18:43)"
"Whom did the colt's owners ask, ""Why are you untying the colt?""",General,Luke 19:33,"Those who were sent ahead [OR two of Jesus' disciples] (Luke 19:33)"
"What came down on the lake?",General,Luke 8:23,"A squall (Luke 8:23)"
"According to Luke, chapter 15, verse 24, who was lost?",According-To,Luke 15:24,"This son of mine (Luke 15:24)"
"Into what did Jesus go on the Sabbath day, as was his custom?",General,Luke 4:16,"The synagogue (Luke 4:16)"
"Finish this verse: ""He told them, 'The harvest...""",Verse,Luke 10:2,"""...is plentiful, but the workers are few. Ask the Lord of the harvest, therefore, to send out workers into his harvest field."" (Luke 10:2)"
"What do the wild flowers not do?",General,Luke 12:27,"Labor or spin (Luke 12:27)"
"Who was praying in private?",General,Luke 9:18,"Jesus (Luke 9:18)"
"According to Luke, chapter 14, verse 3, what did Jesus ask the Pharisees and experts in the law?",According-To,Luke 14:3,"""Is it lawful to heal on the Sabbath or not?"" (Luke 14:3)"
"Who beat the servant and sent him away empty-handed?",General,Luke 20:10,"The tenants (Luke 20:10)"
"To whom have all things been committed by his Father?",General,Luke 10:22,"Jesus (Luke 10:22)"
"Quote Luke, chapter 14, verse 27.",Quote,Luke 14:27,"""And whoever does not carry their cross and follow me cannot be my disciple."" (Luke 14:27)"
"With whom is what is impossible with man possible?",General,Luke 18:27,"God (Luke 18:27)"
"What should his servants put on his son's finger?",General,Luke 15:22,"A ring (Luke 15:22)"
"According to Luke, chapter 2, verse 1, what should be taken?",According-To,Luke 2:1,"A census of the entire Roman world (Luke 2:1)"
"Finish these verses: ""When all the people were...""",Verse,Luke 3:21-22,"""...being baptized, Jesus was baptized too. And as he was praying, heaven was opened and the Holy Spirit descended on him in bodily form like a dove. And a voice came from heaven: 'You are my Son, whom I love; with you I am well pleased.'"" (Luke 3:21-22)"
"Situation question: who said it, and to whom: ""Who do the crowds say I am?""",Situation,Luke 9:18,"Jesus said it to his disciples (Luke 9:18)"
"What can those who kill the body do after that?",General,Luke 12:4,"No more (Luke 12:4)"
"At whose feet did one of the ten men who had leprosy throw himself?",General,Luke 17:16,"Jesus' (Luke 17:16)"
"Finish these verses and give the reference: ""He said to them, 'When...""",Reference,Luke 11:2-4,"""...you pray, say: 'Father, hallowed be your name, your kingdom come. Give us each day our daily bread. Forgive us our sins, for we also forgive everyone who sins against us. And lead us not into temptation.'"" (Luke 11:2-4)"
"Who was said to be unable to conceive?",General,Luke 1:36,"Elizabeth (Luke 1:36)"
"According to Luke, chapter 8, verse 50, who should just believe?",According-To,Luke 8:50,"Jairus (Luke 8:50)"
"In what will his angels lift you up?",General,Luke 4:11,"Their hands (Luke 4:11)"
"According to Luke, chapter 19, verse 14, whom did his subjects send after him?",According-To,Luke 19:14,"A delegation (Luke 19:14)"
"When did the rich man receive his good things?",General,Luke 16:25,"In his lifetime (Luke 16:25)"
"What should you first take out of your eye?",General,Luke 6:42,"The plank (Luke 6:42)"
"In Luke, chapter 5, what immediately happened after Jesus said, ""I am willing. Be clean!""?",Context,Luke 5:13,"The leprosy left the man (Luke 5:13)"
"By whom had all the people, even the tax collectors, been baptized?",General,Luke 7:29,"John (Luke 7:29)"
"According to Luke, chapter 13, verse 29, at what will people take their places?",According-To,Luke 13:29,"The feast in the kingdom of God (Luke 13:29)"
"Until when did a woman mix yeast into about sixty pounds of flour?",General,Luke 13:21,"Until it worked all through the dough (Luke 13:21)"
"Quote Luke, chapter 9, verse 20.",Quote,Luke 9:20,"""'But what about you?' he asked. 'Who do you say I am?' Peter answered, 'God's Messiah.'"" (Luke 9:20)"
"What is easier for heaven and earth to do than for the least stroke of a pen to drop out of the Law?",General,Luke 16:17,"Disappear (Luke 16:17)"
"Who replied, ""What is impossible with man is possible with God.""?",General,Luke 18:27,"Jesus (Luke 18:27)"
"Finish these verses and give the reference: ""Suddenly a great company of...""",Reference,Luke 2:13-14,"""...the heavenly host appeared with the angel, praising God and saying, 'Glory to God in the highest heaven, and on earth peace to those on whom his favor rests.'"" (Luke 2:13-14)"
"How should you lend to your enemies?",General,Luke 6:35,"Without expecting to get anything back (Luke 6:35)"
"Who should go down to get possessions inside on the day the Son of Man is revealed?",General,Luke 17:30-31,"No one who is on the housetop (Luke 17:30-31)"
"According to Luke, chapter 8, verse 54, what did he say?",According-To,Luke 8:54,"""My child, get up!"" (Luke 8:54)"
"Through where does an impure spirit go seeking rest?",General,Luke 11:24,"Arid places (Luke 11:24)"
"What can whoever does not carry their cross and follow Jesus not be?",General,Luke 14:27,"Jesus' disciple (Luke 14:27)"
"According to Luke, chapter 3, verse 21, who was baptized too?",According-To,Luke 3:21,"Jesus (Luke 3:21)"
"Finish these verses: ""He will be great and...""",Verse,Luke 1:32-33,"""...will be called the Son of the Most High. The Lord God will give him the throne of his father David, and he will reign over Jacob's descendants forever; his kingdom will never end."" (Luke 1:32-33)"
"According to Luke, chapter 12, verse 37, for whom will it be good?",According-To,Luke 12:37,"Those servants whose master finds them watching when he comes (Luke 12:37)"
"Of whom is Zacchaeus a son?",General,Luke 19:9,"Abraham (Luke 19:9)"
"In what did they hope to catch Jesus?",General,Luke 20:20,"Something he said (Luke 20:20)"
"Situation question: who said it, to whom, and how: ""Blessed are the eyes that see what you see.""?",Situation,Luke 10:23,"Jesus said it to his disciples, privately (Luke 10:23)"
"Who owed a certain moneylender five hundred denarii?",General,Luke 7:41,"One person (Luke 7:41)"
"According to Luke, chapter 5, verse 7, who came?",According-To,Luke 5:7,"Their partners in the other boat (Luke 5:7)"
"In Luke, chapter 4, concerning whom will God command his angels to guard him carefully?",Context,Luke 4:10,"Jesus (Luke 4:10)"
"Where did the younger son squander his wealth in wild living?",General,Luke 15:13,"In a distant country (Luke 15:13)"
"According to Luke, chapter 2, verse 48, how have your father and I been searching for you?",According-To,Luke 2:48,"Anxiously (Luke 2:48)"
"Whom were the spies unable to trap in what he had said there in public?",General,Luke 20:26,"Jesus (Luke 20:26)"
"What if you invite your friends, your brothers or sisters, your relatives, or your rich neighbors when you give a luncheon or dinner?",General,Luke 14:12,"They may invite you back and so you will be repaid (Luke 14:12)"
"Finish this verse and give the reference: ""Then should not this woman,...""",Reference,Luke 13:16,"""...a daughter of Abraham, whom Satan has kept bound for eighteen long years, be set free on the Sabbath day from what bound her?"" (Luke 13:16)"
"Whom did Jesus give power and authority to drive out all demons and to cure diseases?",General,Luke 9:1,"The Twelve (Luke 9:1)"
"What is possible with God?",General,Luke 18:27,"What is impossible with man (Luke 18:27)"
"In Luke, chapter 3, with whom should anyone who has food share?",Context,Luke 3:11,"The one who has no food (Luke 3:11)"
"Finish this verse: ""Blessed are you who hunger...""",Verse,Luke 6:21,"""...now, for you will be satisfied. Blessed are you who weep now, for you will laugh."" (Luke 6:21)"
"Whom did Levi follow?",General,Luke 5:28,"Jesus (Luke 5:28)"
"According to Luke, chapter 4, verse 1, what did Jesus leave?",According-To,Luke 4:1,"The Jordan (Luke 4:1)"
"Who must be rejected by this generation?",General,Luke 17:25,"The Son of Man (Luke 17:25)"
"When did Jesus weep over Jerusalem?",General,Luke 19:41,"As he approached Jerusalem and saw the city (Luke 19:41)"
"Quote Luke, chapter 7, verse 9.",Quote,Luke 7:9,"""When Jesus heard this, he was amazed at him, and turning to the crowd following him, he said, 'I tell you, I have not found such great faith even in Israel.'"" (Luke 7:9)"
"Situation question: who said it, and to whom: ""How can I be sure of this? I am an old man and my wife is well along in years.""?",Situation,Luke 1:18,"Zechariah said it to the angel [OR to Gabriel] (Luke 1:18)"
"According to Luke, chapter 8, verse 39, where did the man tell how much Jesus had done for him?",According-To,Luke 8:39,"All over town (Luke 8:39)"
"Who has no place to store his crops?",General,Luke 12:17,"A certain rich man (Luke 12:17)"
"What did a Samaritan bandage?",General,Luke 10:34,"The man's wounds (Luke 10:34)"
"According to Luke, chapter 15, verse 24, who is found?",According-To,Luke 15:24,"This son of mine (Luke 15:24)"
"Whom is whoever is not with Jesus against?",General,Luke 11:23,"Jesus (Luke 11:23)"
"With what was a beggar named Lazarus covered?",General,Luke 16:20,"Sores (Luke 16:20)"
"Who pretended to be sincere?",General,Luke 20:20,"Spies (Luke 20:20)"
"Who taught the people on the Sabbath?",General,Luke 4:31,"Jesus (Luke 4:31)"
"Quote Luke, chapter 12, verses 22 through 23.",Quote,Luke 12:22-23,"""Then Jesus said to his disciples: 'Therefore I tell you, do not worry about your life, what you will eat; or about your body, what you will wear. For life is more than food, and the body more than clothes.'"" (Luke 12:22-23)"
"When did the Lord's heart go out to her?",General,Luke 7:13,"When the Lord saw her (Luke 7:13)"
"According to Luke, chapter 14, verse 15, who heard this?",According-To,Luke 14:15,"One of those at the table with Jesus (Luke 14:15)"
"What is a light for revelation to the Gentiles?",General,Luke 2:32,"The Sovereign Lord's salvation (Luke 2:32)"
"Where did Jesus see two boats?",General,Luke 5:2,"At the water's edge (Luke 5:2)"
"According to Luke, chapter 19, verse 24, what should you take away from him?",According-To,Luke 19:24,"His mina (Luke 19:24)"
"Finish this verse: ""No one can serve two...""",Verse,Luke 16:13,"""...masters. Either you will hate the one and love the other, or you will be devoted to the one and despise the other. You cannot serve both God and money."" (Luke 16:13)"
"Complete, in essence, the following: ""It is like yeast that...""",Context,Luke 13:21,"""...a woman took and mixed into about sixty pounds of flour until it worked all through the dough."" (Luke 13:21)"
"Who heard music and dancing when he came near the house?",General,Luke 15:25,"The older son (Luke 15:25)"
"According to Luke, chapter 3, verse 3, where did he go?",According-To,Luke 3:3,"Into all the country around the Jordan (Luke 3:3)"
"How did the seventy-two return?",General,Luke 10:17,"With joy (Luke 10:17)"
"Who said to them all, ""Whoever wants to be my disciple must deny themselves and take up their cross daily and follow me.""?",General,Luke 9:23,"Jesus (Luke 9:23)"
"Finish this verse and give the reference: ""Looking at his disciples, he...""",Reference,Luke 6:20,"""...said: 'Blessed are you who are poor, for yours is the kingdom of God.'"" (Luke 6:20)"
"According to Luke, chapter 1, verse 26, what is a town in Galilee?",According-To,Luke 1:26,"Nazareth (Luke 1:26)"
"What region is across the lake from Galilee?",General,Luke 8:26,"The region of the Gerasenes (Luke 8:26)"
"Where did Lot leave?",General,Luke 17:29,"Sodom (Luke 17:29)"
"Situation question: who said it, to whom, and what was the reply: ""Lord, I want to see.""?",Situation,Luke 18:41-42,"A blind man said it to Jesus, and the reply was, ""Receive your sight; your faith has healed you."" (Luke 18:41-42)"
"Who said to Jesus, ""Lord, teach us to pray, just as John taught his disciples.""?",General,Luke 11:1,"One of Jesus' disciples (Luke 11:1)"
"Who came carrying a paralyzed man on a mat?",General,Luke 5:18,"Some men (Luke 5:18)"
"What did Anna never leave?",General,Luke 2:37,"The temple (Luke 2:37)"
"Quote Luke, chapter 14, verse 11.",Quote,Luke 14:11,"""For all those who exalt themselves will be humbled, and those who humble themselves will be exalted."" (Luke 14:11)"
"According to Luke, chapter 9, verse 54, who saw this?",According-To,Luke 9:54,"The disciples James and John (Luke 9:54)"
"Who replied, ""Caesar's.""?",General,Luke 20:24,"The spies (Luke 20:24)"
"What were people doing up to the day Noah entered the ark?",General,Luke 17:27,"Eating, drinking, marrying and being given in marriage (Luke 17:27)"
"Finish this verse and give the reference: ""John answered them all, 'I...""",Reference,Luke 3:16,"""...baptize you with water. But one who is more powerful than I will come, the straps of whose sandals I am not worthy to untie. He will baptize you with the Holy Spirit and fire.'"" (Luke 3:16)"
"According to Luke, chapter 16, verse 14, what did the Pharisees love?",According-To,Luke 16:14,"Money (Luke 16:14)"
"What will the Holy Spirit teach you when you are brought before synagogues, rulers and authorities?",General,Luke 12:11-12,"What you should say (Luke 12:11-12)"
"What are safe when a strong man, fully armed, guards his own house?",General,Luke 11:21,"His possessions (Luke 11:21)"
"From what Old Testament book does the following quotation come: ""I will send my messenger ahead of you, who will prepare your way before you.""?",Context,Luke 7:27,"Malachi (Luke 7:27)"
"According to Luke, chapter 15, verse 10, what is there over one sinner who repents?",According-To,Luke 15:10,"Rejoicing in the presence of the angels of God (Luke 15:10)"
"To whom did Jesus say, ""Today this scripture is fulfilled in your hearing.""?",General,Luke 4:20-21,"Everyone in the synagogue (Luke 4:20-21)"
"According to Luke, chapter 8, verse 32, what did Jesus give the demons?",According-To,Luke 8:32,"Permission to go into the pigs (Luke 8:32)"
"From where will people come and take their places at the feast in the kingdom of God?",General,Luke 13:29,"East and west and north and south (Luke 13:29)"
"From whom should you not withhold your shirt?",General,Luke 6:29,"Someone who takes your coat (Luke 6:29)"
"Finish this verse: ""All things have been committed...""",Verse,Luke 10:22,"""...to me by my Father. No one knows who the Son is except the Father, and no one knows who the Father is except the Son and those to whom the Son chooses to reveal him."" (Luke 10:22)"
"Who hung on Jesus' words?",General,Luke 19:48,"All the people (Luke 19:48)"
"Whom did Jesus ask, ""What do you want me to do for you?""",General,Luke 18:40-41,"The blind man (Luke 18:40-41)"
"Situation question: who said it, and about whom: ""He will bring back many of the people of Israel to the Lord their God.""?",Situation,Luke 1:16,"The angel [OR Gabriel] said it about John (Luke 1:16)"
"According to Luke, chapter 3, verse 24, of whom was Melki the son?",According-To,Luke 3:24,"Jannai (Luke 3:24)"
"In what were people being given up to the day Noah entered the ark?",General,Luke 17:27,"Marriage (Luke 17:27)"
"Situation question: who said it, to whom, and in reply to what: ""Have them sit down in groups of about fifty each.""?",Situation,Luke 9:13-14,"Jesus said it to his disciples, in reply to, ""We have only five loaves of bread and two fish - unless we go and buy food for all this crowd."" (Luke 9:13-14)"
"Whose hand was with John?",General,Luke 1:66,"The Lord's (Luke 1:66)"
"How many demons had come out from Mary Magdalene?",General,Luke 8:2,"Seven (Luke 8:2)"
"Finish these verses: ""Jesus answered, 'It is said:...""",Verse,Luke 4:12-13,"""...'Do not put the Lord your God to the test.'"" When the devil had finished all this tempting, he left him until an opportune time."" (Luke 4:12-13)"
"Why did the younger son say he would ask his father to make him like one of his hired servants?",Context,Luke 15:19,"Because he is no longer worthy to be called his son (Luke 15:19)"
"In what are the people of this world more shrewd than are the people of the light?",General,Luke 16:8,"Dealing with their own kind (Luke 16:8)"
"When did Jesus call his disciples to him and choose twelve of them?",General,Luke 6:13,"When morning came (Luke 6:13)"
"Quote Luke, chapter 11, verse 13.",Quote,Luke 11:13,"""If you then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give the Holy Spirit to those who ask him!"" (Luke 11:13)"
"Where will you see Abraham, Isaac and Jacob and all the prophets?",General,Luke 13:28,"In the kingdom of God (Luke 13:28)"
"Who said, ""Sir, what you ordered has been done, but there is still room.""?",General,Luke 14:22,"The servant (Luke 14:22)"
"According to Luke, chapter 5, verse 16, who prayed?",According-To,Luke 5:16,"Jesus (Luke 5:16)"
"Whom did a centurion value highly?",General,Luke 7:2,"His servant (Luke 7:2)"
"To whom did his master say, ""Take his mina away from him and give it to the one who has ten minas.""?",General,Luke 19:24,"Those standing by (Luke 19:24)"
"According to Luke, chapter 18, verse 21, what did he say?",According-To,Luke 18:21,"""All these I have kept since I was a boy."" (Luke 18:21)"
"Finish this verse and give the reference: ""For where your treasure is,...""",Reference,Luke 12:34,"""...there your heart will be also."" (Luke 12:34)"
"According to Luke, chapter 10, verse 23, what are the eyes that see what you see?",According-To,Luke 10:23,"Blessed (Luke 10:23)"
"To where did everyone go to register?",General,Luke 2:3,"Their own town (Luke 2:3)"
"Whom will the owner of the vineyard kill?",General,Luke 20:16,"Those tenants (Luke 20:16)"
"Than whom is the one who is least in the kingdom of God greater?",General,Luke 7:28,"John (Luke 7:28)"
"Quote Luke, chapter 12, verse 31.",Quote,Luke 12:31,"""But seek his kingdom, and these things will be given to you as well."" (Luke 12:31)"
"What does someone stronger divide up?",General,Luke 11:22,"His plunder (Luke 11:22)"
"What will I make your enemies?",General,Luke 20:43,"A footstool for your feet (Luke 20:43)"
"Finish this verse and give the reference: ""Jesus replied, 'What is impossible...""",Reference,Luke 18:27,"""...with man is possible with God.'"" (Luke 18:27)"
"According to Luke, chapter 19, verse 21, what are you?",According-To,Luke 19:21,"A hard man (Luke 19:21)"
"Who became pregnant and for five months remained in seclusion?",General,Luke 1:24,"(Zechariah's wife) Elizabeth (Luke 1:24)"
"Situation question: who said it, and to whom: ""What shall I do now? My master is taking away my job. I'm not strong enough to dig, and I'm ashamed to beg.""?",Situation,Luke 16:3,"The manager said it to himself (Luke 16:3)"
"Around whom did the glory of the Lord shine?",General,Luke 2:9,"Shepherds (Luke 2:9)"
"What did everyone give to God?",General,Luke 5:26,"Praise (Luke 5:26)"
"According to Luke, chapter 15, verse 12, what did the younger one say to his father?",According-To,Luke 15:12,"""Father, give me my share of the estate."" (Luke 15:12)"
"In Luke, chapter 13, when do each of you untie your ox or donkey from the stall and lead it out to give it water?",Context,Luke 13:15,"On the Sabbath (Luke 13:15)"
"Whom did Jesus ask, ""Who do the crowds say I am?""",General,Luke 9:18,"His disciples (Luke 9:18)"
"According to Luke, chapter 3, verse 5, what shall be filled in?",According-To,Luke 3:5,"Every valley (Luke 3:5)"
"Who called out in a loud voice, ""Jesus, Master, have pity on us!""?",General,Luke 17:12-13,"Ten men who had leprosy (Luke 17:12-13)"
"Finish this verse: ""However, do not rejoice that...""",Verse,Luke 10:20,"""...the spirits submit to you, but rejoice that your names are written in heaven."" (Luke 10:20)"
"According to Luke, chapter 6, verse 18, who were cured?",According-To,Luke 6:18,"Those troubled by impure spirits (Luke 6:18)"
"What stands for those with a noble and good heart, who hear the word, retain it, and by persevering produce a crop?",General,Luke 8:15,"The seed on good soil (Luke 8:15)"
"Who told his servant, ""Go out to the roads and country lanes and compel them to come in, so that my house will be full.""?",General,Luke 14:23,"The master (Luke 14:23)"
"Who had been brought up in Nazareth?",General,Luke 4:16,"Jesus (Luke 4:16)"
"In what book and chapter did Jesus say ""I will keep on driving out demons and healing people today and tomorrow""?",In-What-Book-and-Chapter,Luke 13:32,"Luke 13 (Luke 13:32)"
"In what book and chapter will people say 'Here it is' or 'There it is'?",In-What-Book-and-Chapter,Luke 17:21,"Luke 17 (Luke 17:21)"
